model_name,backbone,attention,num_parameters,model_size_mb,best_val_auc,best_epoch,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_pr_auc,final_val_pr_auc,final_train_precision,final_val_precision,final_train_recall,final_val_recall,training_time_minutes,use_clahe,timestamp
efficientnet_b0_mhsa,efficientnet_b0,mhsa,4059562,15.636878967285156,0.7966117471132911,22,0.9133516222158126,0.7963721668833094,0.1868687892283476,0.1506498304956129,0.4549947204691618,0.2043336943466252,0.1042607107624981,0.0853906696850779,0.997775484487108,0.8562985906666215,49.456306143601736,True,2026-02-06T09:06:03.770133
efficientnet_b0_performer,efficientnet_b0,performer,4059562,15.675941467285156,0.5026900962772358,12,0.5033892629821525,0.5006335938802146,0.1019449927829287,0.0855179997333868,0.0610211661133199,0.0525373024942826,0.0597017172038843,0.0501918235469534,0.535572400866433,0.4719203899063873,32.204480608304344,True,2026-02-06T09:42:01.078579
mobilenet_v3_large_mhsa,mobilenetv3_large_100,mhsa,7129246,27.289344787597656,0.7962607535127375,21,0.8919584501799583,0.7958106758780019,0.15660697837484802,0.132790846580573,0.379182248659903,0.18666989834262585,0.08622183634535843,0.07398305197506853,0.9980003260864511,0.9176868179476413,60.82202183405558,True,2026-02-06T16:14:40.052251
mobilenet_v3_large_performer,mobilenetv3_large_100,performer,7129246,27.406532287597656,0.5046537402312065,4,0.49801905351709225,0.5026150479392301,0.09186475504612347,0.058583212619033466,0.06353540131900305,0.05312727125400725,0.06374213310282785,0.055615265421212236,0.45167522587689596,0.41165573709265385,26.225521326065063,True,2026-02-06T16:46:49.577557
shufflenet_v2_x1_0_mhsa,shufflenet_v2_x1_0,mhsa,5982962,22.885337829589844,0.7892460441907657,29,0.8512158262659261,0.7856549270669818,0.1391916395938761,0.1199282011119359,0.29449046780350846,0.17119495053074715,0.07601219487224535,0.06622016361504011,0.9993859792488896,0.9501246385541695,83.30271175702413,True,2026-02-06T18:13:55.939543
shufflenet_v2_x1_0_performer,shufflenet_v2_x1_0,performer,5982962,23.010337829589844,0.7736839979450194,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.85771641731262,True,2026-02-06T18:56:37.597372
